epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,230.477,1.64437,1.96529,1.91719,0.97469,0.17127,0.44053,0.17398,0.09504,0.15086,0.37885,0.15704,0.07148,1.55028,2.10204,1.84233,1.00236,0.0008714,0.0008714,0.0008714
59,234.689,1.63151,1.91981,1.98417,0.95411,0.17961,0.4141,0.1787,0.10167,0.15685,0.34802,0.14806,0.05928,1.57659,2.07678,1.87058,1.01374,0.0008516,0.0008516,0.0008516
60,238.596,1.59807,1.952,1.91776,0.98387,0.19272,0.34361,0.17223,0.09329,0.16809,0.25551,0.12507,0.0508,1.58347,2.0678,1.81046,1.0389,0.0008318,0.0008318,0.0008318
61,242.481,1.51987,1.95984,1.93938,0.97022,0.20081,0.30837,0.17166,0.10113,0.18141,0.26872,0.14771,0.06603,1.52015,2.07554,1.80346,1.0381,0.000812,0.000812,0.000812
62,246.361,1.48074,1.75802,1.88216,0.94045,0.19612,0.32566,0.16949,0.10089,0.1788,0.27313,0.1534,0.07655,1.52686,2.12116,1.81662,1.02338,0.0007922,0.0007922,0.0007922
63,250.581,1.45717,1.82998,2.18433,0.98531,0.18573,0.33059,0.16432,0.09698,0.17376,0.29075,0.14657,0.07214,1.53049,2.10015,1.87653,1.01697,0.0007724,0.0007724,0.0007724
64,254.511,1.46915,1.9767,1.86649,0.97085,0.17526,0.40088,0.14744,0.08399,0.14732,0.31278,0.11697,0.05456,1.5207,1.98972,1.88892,1.00505,0.0007526,0.0007526,0.0007526
65,258.404,1.52256,1.8772,1.85375,0.95774,0.16858,0.33921,0.13497,0.07623,0.16011,0.29956,0.11148,0.04839,1.59798,2.00063,1.87594,1.03433,0.0007328,0.0007328,0.0007328
66,262.298,1.44656,1.85327,1.73184,0.92552,0.18268,0.3348,0.13702,0.07468,0.15746,0.25551,0.1076,0.04743,1.59156,2.04014,1.83902,1.05034,0.000713,0.000713,0.000713
67,266.18,1.52928,1.93049,2.51094,0.91219,0.182,0.35683,0.13177,0.07358,0.16586,0.29075,0.11222,0.0499,1.62111,2.11614,1.85555,1.09406,0.0006932,0.0006932,0.0006932
68,270.099,1.31462,1.7158,1.78714,0.95261,0.17064,0.4185,0.13631,0.07769,0.15686,0.32599,0.11014,0.0498,1.59912,2.0299,1.82906,1.06413,0.0006734,0.0006734,0.0006734
69,273.957,1.35353,1.70196,1.97583,0.91916,0.17898,0.36123,0.13816,0.07923,0.15815,0.27753,0.10893,0.0484,1.53542,2.03413,1.80626,1.02885,0.0006536,0.0006536,0.0006536
